time,header,state_vector,state_valid
2022/03/09 14:08:48.305898627,"{'stamp': {'secs': 1646834928, 'nsecs': 305682926}, 'frame_id': ''}","[-3.7520382710464446, -7.207240770931869, 0.0, -0.7442530747177041, 0.9926720688049074, 0.0, 0.0, -0.0, 9.957289900275335e-05, 0.0, 0.0, 0.003981724811755697, 0.006575024]",0
2022/03/09 14:08:48.319196838,"{'stamp': {'secs': 1646834928, 'nsecs': 318966966}, 'frame_id': ''}","[-3.756794539409115, -7.2009083746282645, 0.0, -0.8221837420577126, 1.096338810984056, 0.0, 0.0, -0.0, 9.957289900275335e-05, 0.0, 0.0, 1.8139762662353834e-11, 0.013281232]",0
2022/03/09 14:08:48.325677846,"{'stamp': {'secs': 1646834928, 'nsecs': 325459796}, 'frame_id': ''}","[-3.7610420433256504, -7.19525663036381, 0.0, -0.827659504161019, 1.1031824819969385, 0.0, 0.0, -0.0, 9.957289900275335e-05, 0.0, 0.0, 3.7125294131717226e-11, 0.006489333]",0
2022/03/09 14:08:48.340226289,"{'stamp': {'secs': 1646834928, 'nsecs': 339957445}, 'frame_id': ''}","[-3.76544887227963, -7.189399680935807, 0.0, -0.7133586502003835, 0.9503637651301184, 0.0, 0.0, -0.0, 9.957289900275335e-05, 0.0, 0.0, 1.6621098141135876e-11, 0.014494734]",0
2022/03/09 14:08:48.353177620,"{'stamp': {'secs': 1646834928, 'nsecs': 352777400}, 'frame_id': ''}","[-3.7704503975842947, -7.182749951545563, 0.0, -0.4562015696383741, 0.6070774008583036, 0.0, 0.0, -0.0, 9.957289900275335e-05, 0.0, 0.0, 1.8797065349390707e-11, 0.012816809]",0
2022/03/09 14:08:48.361878708,"{'stamp': {'secs': 1646834928, 'nsecs': 361657316}, 'frame_id': ''}","[-3.7747130052173876, -7.177082617651438, 0.0, -0.436044130445493, 0.5799420638751852, 0.0, 0.0, -0.0, 9.957289900275335e-05, 0.0, 0.0, 2.7140939645103715e-11, 0.008876568]",0
2022/03/09 14:08:48.372124459,"{'stamp': {'secs': 1646834928, 'nsecs': 371812505}, 'frame_id': ''}","[-3.7780528804242053, -7.172635709427409, 0.0, -0.42221847103856003, 0.5615160931863289, 0.0, 0.0, -0.0, 9.957289900275335e-05, 0.0, 0.0, 2.373057485500327e-11, 0.010152236]",0
2022/03/09 14:08:48.384088503,"{'stamp': {'secs': 1646834928, 'nsecs': 383818500}, 'frame_id': ''}","[-3.7815844422601215, -7.167930835562585, 0.0, -0.3712523045151828, 0.49382451868129695, 0.0, 0.0, -0.0, 9.957289900275335e-05, 0.0, 0.0, 2.0071926521501564e-11, 0.012002754]",0
2022/03/09 14:08:48.393389091,"{'stamp': {'secs': 1646834928, 'nsecs': 393207651}, 'frame_id': ''}","[-3.784578601225169, -7.1639374463860594, 0.0, -0.3626336628278448, 0.48266016049926935, 0.0, 0.0, -0.0, 9.957289900275335e-05, 0.0, 0.0, 2.5667142540808224e-11, 0.009386257]",0
2022/03/09 14:08:48.404850623,"{'stamp': {'secs': 1646834928, 'nsecs': 404637990}, 'frame_id': ''}","[-3.7879676263359654, -7.159420933185123, 0.0, -0.33629833739800113, 0.44788667019565426, 0.0, 0.0, -0.0, 9.957289900275335e-05, 0.0, 0.0, 2.108412398685646e-11, 0.011426531]",0
2022/03/09 14:08:48.412133695,"{'stamp': {'secs': 1646834928, 'nsecs': 411793603}, 'frame_id': ''}","[-3.7913983160957807, -7.154849950220997, 0.0, -0.33472970996315166, 0.44605352685022853, 0.0, 0.0, -0.0, 9.957289900275335e-05, 0.0, 0.0, 3.3684582076537014e-11, 0.007152186]",0
2022/03/09 14:08:48.425913681,"{'stamp': {'secs': 1646834928, 'nsecs': 425706654}, 'frame_id': ''}","[-3.7946591701475, -7.150504194079026, 0.0, -0.33218983127247653, 0.4427244655021479, 0.0, 0.0, -0.0, 9.957289900275335e-05, 0.0, 0.0, 1.7321824511296826e-11, 0.013908373]",0
2022/03/09 14:08:48.437107868,"{'stamp': {'secs': 1646834928, 'nsecs': 436895098}, 'frame_id': ''}","[-3.79848505120925, -7.145398076824234, 0.0, -0.3390842087430093, 0.4520109889903998, 0.0, 0.0, -0.0, 9.957289900275335e-05, 0.0, 0.0, 2.1538509626027312e-11, 0.011185472]",0
2022/03/09 14:08:48.448016418,"{'stamp': {'secs': 1646834928, 'nsecs': 447812832}, 'frame_id': ''}","[-3.8020968586999055, -7.140573562764712, 0.0, -0.3368954531468506, 0.44925035708089944, 0.0, 0.0, -0.0, 9.957289900275335e-05, 0.0, 0.0, 2.207392122233631e-11, 0.010914164]",0
2022/03/09 14:08:48.457915454,"{'stamp': {'secs': 1646834928, 'nsecs': 457680011}, 'frame_id': ''}","[-3.8058619681644155, -7.13554424635438, 0.0, -0.3429593858626105, 0.45760712489671035, 0.0, 0.0, -0.0, 9.957289900275335e-05, 0.0, 0.0, 2.4424929728553093e-11, 0.009863627]",0
2022/03/09 14:08:48.462332590,"{'stamp': {'secs': 1646834928, 'nsecs': 462044789}, 'frame_id': ''}","[-3.8093825873368536, -7.130843162959531, 0.0, -0.4029033075320595, 0.5379283091928622, 0.0, 0.0, -0.0, 9.957289900275335e-05, 0.0, 0.0, 5.5240548911016306e-11, 0.00436126]",0
2022/03/09 14:08:48.464853894,"{'stamp': {'secs': 1646834928, 'nsecs': 464675138}, 'frame_id': ''}","[-3.811788166908246, -7.1276330905721395, 0.0, -0.5405415132657152, 0.7217115046306783, 0.0, 0.0, -0.0, 9.957289900275335e-05, 0.0, 0.0, 9.172895548293149e-11, 0.002626416]",0
2022/03/09 14:08:48.479211068,"{'stamp': {'secs': 1646834928, 'nsecs': 478993654}, 'frame_id': ''}","[-3.8140868217444246, -7.124571818292016, 0.0, -0.5648223517561571, 0.7540159577142727, 0.0, 0.0, -0.0, 9.957289900275335e-05, 0.0, 0.0, 1.682947395763788e-11, 0.014315266]",0
2022/03/09 14:08:48.488974881,"{'stamp': {'secs': 1646834928, 'nsecs': 488716879}, 'frame_id': ''}","[-3.8173489793839543, -7.120227384931205, 0.0, -0.5536552902749332, 0.7388274494961373, 0.0, 0.0, -0.0, 9.957289900275335e-05, 0.0, 0.0, 2.478732232413652e-11, 0.00971942]",0
2022/03/09 14:08:48.500246023,"{'stamp': {'secs': 1646834928, 'nsecs': 499987293}, 'frame_id': ''}","[-3.8218270479686347, -7.114263641697113, 0.0, -0.5020912026005022, 0.6696560677887968, 0.0, 0.0, -0.0, 9.957289900275335e-05, 0.0, 0.0, 2.1381569601870694e-11, 0.011267573]",0
2022/03/09 14:08:48.504596793,"{'stamp': {'secs': 1646834928, 'nsecs': 504377142}, 'frame_id': ''}","[-3.826770766056289, -7.107679761897376, 0.0, -0.5209459587776273, 0.6941498619370415, 0.0, 0.0, -0.0, 9.957289900275335e-05, 0.0, 0.0, 5.4914844348854944e-11, 0.004387127]",0
2022/03/09 14:08:48.509071464,"{'stamp': {'secs': 1646834928, 'nsecs': 508833233}, 'frame_id': ''}","[-3.8318585701269954, -7.10090406274301, 0.0, -0.6231916365516993, 0.8299336190519083, 0.0, 0.0, -0.0, 9.957289900275335e-05, 0.0, 0.0, 5.409404917572016e-11, 0.004453695]",0
2022/03/09 14:08:48.516892514,"{'stamp': {'secs': 1646834928, 'nsecs': 516279054}, 'frame_id': ''}","[-3.8359429096390474, -7.095464844832508, 0.0, -0.7587538141073732, 1.0104670141225647, 0.0, 0.0, -0.0, 9.957289900275335e-05, 0.0, 0.0, 3.237030145395363e-11, 0.007442575]",0
2022/03/09 14:08:48.522047899,"{'stamp': {'secs': 1646834928, 'nsecs': 521886614}, 'frame_id': ''}","[-3.8391533758981295, -7.091189466337205, 0.0, -0.8058772270770412, 1.0732167574075897, 0.0, 0.0, -0.0, 9.957289900275335e-05, 0.0, 0.0, 4.29850424444719e-11, 0.005604703]",0
